B-01	.ai-tmp/screenshots/23_hud_1920.png	H4/H5 1:1 HUD（1920×1080 采集帧）：右上比分两行 + 竖分隔 + 计时 + Map 行
B-02	.ai-tmp/screenshots/22_hmenu.png	G12 H 菜单（加/踢机器人 / 比赛 / 换阵营 / 换图）
B-03	.ai-tmp/screenshots/06_hmenu.png	G10 H 菜单内点「添加机器人（Hard）」后（bot 名单 + 人数变化）
B-04	.ai-tmp/screenshots/22_scoreboard.png	G11 记分板（TAB 按住）；按阵营分组 + K/D
B-05	.ai-tmp/screenshots/22_slot2_pistol.png	H1/H2/H3/H7/H10/H15/G17 手枪槽：左下血/甲/钱 + 右下弹药 + 中心准星 + Buy Zone
B-06	.ai-tmp/screenshots/22_slot3_knife.png	G4 3 号槽（刀）：右手刀 + 右下 HUD
B-07	.ai-tmp/screenshots/10_ingame_live.png	H8 击杀信息（右上滚动 killfeed）同帧的局内活帧
B-08	.ai-tmp/screenshots/65_hitmarker.png	H9 命中标记（快照值驱动的中心 X）
B-09	.ai-tmp/screenshots/23_slot1_primary.png	G4 1 号槽（AK-47）：帧内右手 AK + 右下 HUD
B-10	.ai-tmp/screenshots/44_spectate.png	H11/G9 观战 HUD（观战中 - Cliffe + 第三人称 chase 机位）
B-11	.ai-tmp/screenshots/43_roundend.png	H12 回合结算（中央大字 Counter-Terrorists Win + 原因 + 比分）
B-12	.ai-tmp/screenshots/42_matchend.png	H13 比赛结束（Counter-Terrorists Win! + CT 2:0 T + 共 2 回合 + 再来一局/回主菜单）
B-13	.ai-tmp/screenshots/23_slot4_grenade.png	G4 4 号槽（HE 雷）
B-14	.ai-tmp/screenshots/05_ingame_ct.png	R8 秒表图标 + 比分右侧；CT 局内 HUD 帧
B-15	.ai-tmp/screenshots/07_buymenu.png	G3 买枪菜单（B 键 + 分类 + 价格/余额）
B-16	.ai-tmp/screenshots/13_console.png	H14 控制台（标题 + 日志区 + 输入框）
B-17	.ai-tmp/screenshots/23_slot5_c4.png	G4 5 号槽（C4）
B-18	.ai-tmp/screenshots/23_thirdperson.png	G9 第三人称 chase 观战机位
B-19	.ai-tmp/screenshots/12_radio.png	G13 无线电菜单（RADIO B）
B-20	.ai-tmp/screenshots/93_fix_post_char_closeup.png	R2 第一人称：手枪 + 双臂在画面右下
B-21	.ai-tmp/screenshots/50_spectate_no_nameplate.png	H11 观战态（被观战目标头顶无名牌）
